iD;molecularFormula;adduct;NPC#pathway;NPC#pathway Probability;NPC#superclass;NPC#superclass Probability;NPC#class;NPC#class Probability;ClassyFire#most specific class;ClassyFire#most specific class Probability;ClassyFire#level 5;ClassyFire#level 5 Probability;ClassyFire#subclass;ClassyFire#subclass Probability;ClassyFire#class;ClassyFire#class Probability;ClassyFire#superclass;ClassyFire#superclass probability;ClassyFire#all classifications
1035;C30H36N2O2;[M + H]+;Shikimates and Phenylpropanoids;4.95767E+16;Flavonoids;3.39526E+15;Flavanones;2.57547E+16;Phenylpropanes;6.99843E+15;;;Phenylpropanes;6.99843E+15;Benzene and substituted derivatives;8.1825E+15;Benzenoids;9.95773E+15;"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1039;C31H40O6;[M + Na]+;Terpenoids;9.3144E+15;Sesquiterpenoids;5.40128E+15;Polyprenylated cyclic polyketides (Hop meroterpenoids);1.35533E+16;Benzene and substituted derivatives;8.62408E+15;;;;;Benzene and substituted derivatives;8.62408E+15;Benzenoids;7.45656E+15;"Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Tertiary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1040;C24H47N9O6;[M + H]+;Amino acids and Peptides;9.84484E+15;Small peptides;9.28066E+15;Tripeptides;7.48433E+15;Oligopeptides;9.30067E+15;Peptides;9.98711E+15;Amino acids, peptides, and analogues;9.99904E+15;Carboxylic acids and derivatives;9.99678E+15;Organic acids and derivatives;9.99971E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Serine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1043;C33H43N7O5;[M + H]+;Amino acids and Peptides;4.20887E+15;Ornithine alkaloids;5.43783E+14;Anthraquinones and anthrones;2.7638E+16;Alpha amino acid amides;8.07778E+14;Amino acids and derivatives;8.16829E+15;Amino acids, peptides, and analogues;8.28076E+15;Carboxylic acids and derivatives;8.55301E+15;Organic acids and derivatives;8.74058E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Oxazinanes; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Morpholines; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Secondary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Alkanolamines; Dialkylarylamines; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1045;C39H45N5O3;[M + H]+;Amino acids and Peptides;7.80922E+14;Small peptides;8.19151E+15;Tripeptides;7.53068E+15;N-acyl-alpha amino acids and derivatives;7.41417E+15;Amino acids and derivatives;9.94241E+13;Amino acids, peptides, and analogues;9.94875E+14;Carboxylic acids and derivatives;9.88889E+15;Organic acids and derivatives;9.93107E+13;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Naphthalenes; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Piperazine carboxamides; Benzenoids; Amines; Tertiary amines; Benzylamines; Aralkylamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1048;C29H46O9;[M + H]+;Polyketides;9.32147E+14;Linear polyketides;6.26468E+15;Open-chain polyketides;6.80116E+15;Terpene glycosides;7.41046E+15;;;Terpene glycosides;7.41046E+15;Prenol lipids;4.11993E+14;Lipids and lipid-like molecules;6.58212E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Vinylogous acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1049;C33H62O4;[M + H]+;Fatty acids;9.95255E+15;Glycerolipids;9.62127E+15;Diacylglycerols;5.19209E+15;Diacylglycerols;5.00698E+15;Diacylglycerols;5.00698E+15;Diradylglycerols;4.68846E+16;Glycerolipids;9.65364E+15;Lipids and lipid-like molecules;9.98018E+15;"Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1052;C37H70N2O5;[M + Na]+;Fatty acids;3.76551E+15;Linear polyketides;1.90843E+15;Piperidine alkaloids;2.71718E+16;Amino acids and derivatives;8.00218E+15;Amino acids and derivatives;8.00218E+15;Amino acids, peptides, and analogues;7.9404E+15;Carboxylic acids and derivatives;9.94264E+15;Organic acids and derivatives;9.99533E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Tertiary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1053;C37H70N2O5;[M + H]+;Fatty acids;7.33969E+15;Fatty amides;6.08345E+15;N-acyl amines;6.30087E+15;Amino acids and derivatives;5.40175E+15;Amino acids and derivatives;5.40175E+15;Amino acids, peptides, and analogues;5.6151E+15;Carboxylic acids and derivatives;9.22334E+15;Organic acids and derivatives;9.82971E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1054;C38H74N2O5;[M + H]+;Fatty acids;9.96717E+15;Fatty amides;9.30081E+15;N-acyl amines;9.82745E+15;N-acyl-L-alpha-amino acids;5.10502E+15;Amino acids and derivatives;9.94077E+15;Amino acids, peptides, and analogues;9.93822E+15;Carboxylic acids and derivatives;9.99892E+15;Organic acids and derivatives;9.99988E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1055;C37H72N2O6;[M + H]+;Fatty acids;9.96836E+15;Sphingolipids;8.47853E+15;Ceramides;5.59511E+15;Alpha amino acids and derivatives;8.57304E+15;Amino acids and derivatives;9.74419E+15;Amino acids, peptides, and analogues;9.69205E+15;Carboxylic acids and derivatives;9.98418E+15;Organic acids and derivatives;9.99826E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1056;C34H66NO8P;[M + H]+;Fatty acids;9.92872E+15;Glycerophospholipids;9.99906E+15;Glycerophosphoethanolamines;9.24257E+15;Phosphatidylethanolamines;9.35867E+15;Phosphatidylethanolamines;9.35867E+15;Glycerophosphoethanolamines;9.71832E+15;Glycerophospholipids;9.99869E+15;Lipids and lipid-like molecules;9.98987E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1057;C38H74N2O6;[M + H]+;Fatty acids;9.98966E+15;Sphingolipids;9.61416E+15;Ceramides;7.78196E+15;Ceramides;7.19963E+15;;;Ceramides;7.19963E+15;Sphingolipids;5.29415E+15;Lipids and lipid-like molecules;9.96317E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Carboxylic acid esters; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1058;C33H66NO8P;[M + H]+;Fatty acids;9.97496E+15;Glycerophospholipids;9.99465E+15;Glycerophosphoethanolamines;9.56359E+15;Phosphatidylethanolamines;9.25785E+15;Phosphatidylethanolamines;9.25785E+15;Glycerophosphoethanolamines;9.76845E+15;Glycerophospholipids;9.99683E+15;Lipids and lipid-like molecules;9.98904E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1059;C44H86N2O2;[M + H]+;Fatty acids;9.95078E+15;Fatty amides;9.26701E+15;N-acyl amines;8.04415E+15;N-acyl amines;9.65163E+15;N-acyl amines;9.65163E+15;Fatty amides;9.84367E+15;Fatty Acyls;9.91052E+15;Lipids and lipid-like molecules;9.85298E+15;"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1060;C22H43NO;[M + H]+;Fatty acids;9.29421E+15;Fatty amides;9.55672E+15;N-acyl amines;9.24848E+15;N-acyl amines;5.93604E+15;N-acyl amines;5.93604E+15;Fatty amides;5.82982E+15;Fatty Acyls;4.52916E+16;Lipids and lipid-like molecules;6.49559E+15;"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1061;C29H48O15;[M + H]+;Terpenoids;7.38008E+15;Monoterpenoids;9.66322E+15;Menthane monoterpenoids;3.89711E+16;Terpene glycosides;7.15704E+15;;;Terpene glycosides;7.15704E+15;Prenol lipids;6.31004E+15;Lipids and lipid-like molecules;7.17785E+15;"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Monoterpenoids; Acetals; Secondary alcohols; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1063;C13H25NO2;[M + H]+;Fatty acids;5.47862E+15;Fatty Acids and Conjugates;2.04002E+15;Amino fatty acids;1.85407E+15;Amino acids;5.97393E+15;Amino acids and derivatives;8.39816E+15;Amino acids, peptides, and analogues;8.47922E+15;Carboxylic acids and derivatives;9.63526E+15;Organic acids and derivatives;9.81461E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1066;C38H68NO9P;[M + H]+;Fatty acids;9.97759E+15;Glycerophospholipids;9.9913E+15;Oxidized glycerophospholipids;3.47341E+15;Phosphatidylethanolamines;8.37886E+15;Phosphatidylethanolamines;8.37886E+15;Glycerophosphoethanolamines;7.66597E+15;Glycerophospholipids;9.99859E+14;Lipids and lipid-like molecules;9.98854E+14;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1069;C36H71O10P;[M + Na]+;Fatty acids;9.97986E+15;Glycerophospholipids;9.99981E+15;Glycerophosphoglycerols;9.99973E+15;Phosphatidylglycerols;8.67012E+14;Phosphatidylglycerols;8.67012E+14;Glycerophosphoglycerols;9.99999E+15;Glycerophospholipids;9.99793E+15;Lipids and lipid-like molecules;9.99946E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Carboxylic acid esters; Phosphatidylglycerols; Secondary alcohols; Carbonyl compounds; Glycerophosphoglycerols; Polyols; 1,2-diols; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1071;C36H68NO8P;[M + H]+;Fatty acids;9.95796E+15;Glycerophospholipids;9.99919E+15;Glycerophosphoethanolamines;9.68197E+15;Phosphatidylethanolamines;9.70504E+15;Phosphatidylethanolamines;9.70504E+15;Glycerophosphoethanolamines;9.91286E+15;Glycerophospholipids;9.99967E+15;Lipids and lipid-like molecules;9.98834E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1074;C7H16N6O3S2;[M + H]+;Alkaloids;8.87293E+15;Pseudoalkaloids;8.51824E+15;pteridine alkaloids;3.65527E+13;Thiadiazole sulfonamides;6.78651E+15;Thiadiazole sulfonamides;6.78651E+15;Thiadiazoles;4.93875E+15;Azoles;2.41726E+16;Organoheterocyclic compounds;9.99816E+15;"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Triazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Organosulfonamides; Thiadiazole sulfonamides; Aminosulfonyl compounds; Organic oxides; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1075;C24H26N4O12S;[M + H]+;Amino acids and Peptides;7.13638E+15;Nucleosides;4.12393E+15;Pyrimidine nucleos(t)ides;1.79414E+16;N-acyl-alpha amino acids and derivatives;9.72565E+15;Amino acids and derivatives;7.00131E+15;Amino acids, peptides, and analogues;6.89641E+15;Carboxylic acids and derivatives;9.3599E+15;Organic acids and derivatives;9.98897E+14;"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Phenols; Benzoic acids and derivatives; Benzamides; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Nitriles; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Benzoic acid esters; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Benzoic acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"
1077;C18H28N6O14S2;[M + H]+;Carbohydrates;9.04298E+15;Small peptides;2.93925E+14;Tripeptides;1.55537E+15;Peptides;5.20332E+15;Peptides;5.20332E+15;Amino acids, peptides, and analogues;9.29576E+15;Carboxylic acids and derivatives;9.15594E+15;Organic acids and derivatives;9.99986E+15;"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Peptides; Organic carbonic acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic disulfides; Sulfenyl compounds; Organic oxides; Dialkyldisulfides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Organic nitroso compounds; Organic S-nitroso compounds; Chemical entities"
1079;C19H35N5O12S2;[M + Na]+;Amino acids and Peptides;9.46764E+15;Small peptides;9.95548E+15;Tripeptides;8.09369E+15;Gamma-glutamyl peptides;9.60917E+14;Peptides;9.97615E+15;Amino acids, peptides, and analogues;9.99137E+15;Carboxylic acids and derivatives;9.98675E+15;Organic acids and derivatives;9.99961E+15;"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Alpha amino acids; Amines; Primary amines; Organic disulfides; Tetracarboxylic acids and derivatives; Gamma-glutamyl peptides; Sulfenyl compounds; Fatty Acyls; Organic oxides; Dialkyldisulfides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1080;C36H44O;[M + Na]+;Terpenoids;5.27597E+14;Flavonoids;1.6858E+16;Chalcones;1.14199E+16;Benzene and substituted derivatives;5.81955E+15;;;;;Benzene and substituted derivatives;5.81955E+15;Benzenoids;9.89997E+15;"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
1081;C31H55NO10;[M + H]+;Polyketides;6.15395E+15;Macrolides;5.03144E+15;Erythromycins;5.83907E+15;Amino acids and derivatives;6.09276E+15;Amino acids and derivatives;6.09276E+15;Amino acids, peptides, and analogues;6.09229E+14;Carboxylic acids and derivatives;9.34425E+15;Organic acids and derivatives;9.29903E+15;"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alcohols and polyols; Macrolides and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acids; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Trialkylamines; Amines; Tertiary amines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1083;C28H62N3O7PS;[M + H]+;Fatty acids;9.95917E+15;Sphingolipids;9.43016E+15;Phosphosphingolipids;6.31943E+15;Sphingolipids;8.0661E+15;;;;;Sphingolipids;8.0661E+15;Lipids and lipid-like molecules;4.19288E+16;"Organic compounds; Organosulfur compounds; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid amides; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; N-acyl amines; Thioethers; Phosphocholines; Phosphoethanolamines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Primary amines; Alkanolamines; Sulfenyl compounds; Alkyl phosphates; Dialkyl phosphates; Organic zwitterions; Dialkylthioethers; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1085;C35H68NO8P;[M + H]+;Fatty acids;9.94309E+15;Glycerophospholipids;9.99804E+15;Glycerophosphoethanolamines;8.82304E+14;Phosphatidylethanolamines;9.39152E+15;Phosphatidylethanolamines;9.39152E+15;Glycerophosphoethanolamines;9.565E+15;Glycerophospholipids;9.99843E+15;Lipids and lipid-like molecules;9.99066E+14;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphoethanolamines; Phosphatidylethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
